                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    120,                  1.204,                 1.1125,                0.91396,                0.98307,                0.85533,                0.92947,                0.58103,                 1.2688,                 1.0003,                  0.955,             0.00069331,             0.00069331,             0.00069331
                    121,                 1.2572,                 1.1963,                0.92532,                0.98509,                0.85621,                0.92901,                 0.6313,                 1.1585,                0.97012,                0.94062,             0.00068505,             0.00068505,             0.00068505
                    122,                 1.3541,                  1.308,                0.93351,                0.98766,                0.85617,                0.90386,                 0.6203,                 1.1485,                0.97479,                0.93625,              0.0006768,              0.0006768,              0.0006768
                    123,                 1.2903,                 1.0606,                0.91821,                0.98898,                0.85266,                0.90344,                 0.6092,                 1.1702,                0.98281,                0.93521,             0.00066855,             0.00066855,             0.00066855
                    124,                 1.2072,                 1.0741,                0.89221,                0.98917,                0.85621,                0.90734,                0.61141,                 1.2437,                0.98282,                0.94092,              0.0006603,              0.0006603,              0.0006603
                    125,                 1.2592,                 1.1556,                 0.9062,                0.99046,                0.85621,                0.90964,                 0.5951,                 1.2523,                0.99285,                0.94004,             0.00065205,             0.00065205,             0.00065205
                    126,                 1.2618,                 1.1807,                 0.9511,                0.99064,                0.85621,                0.91023,                 0.6155,                 1.1545,                 1.0136,                0.93524,              0.0006438,              0.0006438,              0.0006438
                    127,                 1.2106,                 1.0678,                0.91019,                0.99076,                0.85621,                0.91011,                0.62023,                 1.1229,                 1.0151,                0.93319,             0.00063554,             0.00063554,             0.00063554
                    128,                 1.4705,                 1.2142,                0.93439,                0.99128,                0.85621,                0.90672,                0.61652,                 1.1672,                 0.9807,                0.93855,             0.00062729,             0.00062729,             0.00062729
                    129,                 1.2093,                  1.052,                0.90604,                0.99448,                0.87808,                0.90704,                0.61068,                 1.2276,                 0.9716,                0.94541,             0.00061904,             0.00061904,             0.00061904
                    130,                 1.2167,                 1.0277,                0.90607,                 0.9898,                0.88399,                0.90714,                0.59077,                 1.2631,                0.98991,                0.94816,             0.00061079,             0.00061079,             0.00061079
                    131,                   1.19,                 1.0286,                0.89184,                0.98629,                0.88399,                  0.912,                0.61814,                 1.2002,                 1.0096,                0.93909,             0.00060254,             0.00060254,             0.00060254
                    132,                 1.2725,                 1.0865,                0.90184,                0.98095,                0.88399,                0.93609,                0.63483,                 1.1238,                0.98286,                0.93018,             0.00059429,             0.00059429,             0.00059429
                    133,                 1.1926,                 1.0423,                0.91081,                0.99847,                0.90458,                0.91836,                0.63777,                 1.1119,                0.98502,                0.93046,             0.00058603,             0.00058603,             0.00058603
                    134,                 1.2046,                 1.1501,                0.92194,                 0.9902,                0.91176,                0.91784,                0.64821,                 1.1156,                 0.9687,                0.93054,             0.00057778,             0.00057778,             0.00057778
                    135,                 1.2382,                 1.1437,                0.88977,                0.98577,                0.91176,                0.91809,                0.62818,                 1.1932,                0.95688,                0.93932,             0.00056953,             0.00056953,             0.00056953
                    136,                 1.2512,                 1.1305,                0.94097,                0.98329,                0.91176,                0.91881,                0.61521,                 1.2125,                0.95346,                0.94577,             0.00056128,             0.00056128,             0.00056128
